Date,SO2 (ppb),O3 (ppb),PM 2.5  (μg/m 3 ),NO2 (ppb)
2016/04/16,1.8,18.5,0.0,16.51
2016/04/15,2.9,12.6,0.0,31.11
2016/04/15,0.0,0.0,28,0.0
2016/04/14,2.3,26.6,0.0,26.24
2016/04/14,0.0,0.0,32,0.0
2016/04/13,0.0,0.0,11,0.0
2016/04/13,2.5,22.4,0.0,22.88
2016/04/12,2.4,34.6,0.0,20.96
2016/04/12,0.0,0.0,23,0.0
2016/04/11,0.0,0.0,13,0.0
2016/04/11,1.9,20.3,0.0,22.78
2016/04/10,0.0,0.0,9,0.0
2016/04/10,1.9,20.1,0.0,13.23
2016/04/09,0.0,0.0,33,0.0
2016/04/09,3.6,24.6,0.0,19.26
2016/04/08,0.0,0.0,22,0.0
2016/04/08,3.3,20.9,0.0,19.68
2016/04/07,2.7,25.1,0.0,14.57
2016/04/06,3.3,29.7,0.0,15.63
2016/04/05,3.6,18,0.0,21.33
2016/04/05,0.0,0.0,34,0.0
2016/04/04,0.0,0.0,27,0.0
2016/04/04,2.1,19.2,0.0,14.82
2016/04/03,0.0,0.0,35,0.0
2016/04/03,2.3,27.4,0.0,14.11
2016/04/02,4.8,38.9,0.0,23.13
2016/04/02,0.0,0.0,67,0.0
2016/04/01,0.0,0.0,70,0.0
2016/04/01,5.4,28.9,0.0,35.36
2016/03/31,0.0,0.0,55,0.0
2016/03/31,5.1,31.2,0.0,28.6
2016/03/30,4.1,38.7,0.0,29.66
2016/03/30,0.0,0.0,38,0.0
2016/03/29,0.0,0.0,24,0.0
2016/03/29,2.1,35.7,0.0,29.85
2016/03/28,0.0,0.0,25,0.0
2016/03/28,2.4,39.9,0.0,22.47
2016/03/27,2.6,48.8,0.0,17.34
2016/03/27,0.0,0.0,30,0.0
2016/03/26,0.0,0.0,22,0.0
2016/03/26,3.1,42.6,0.0,20.1
2016/03/25,1.8,28.2,0.0,21.74
2016/03/25,0.0,0.0,8,0.0
2016/03/24,0.0,0.0,7,0.0
2016/03/24,2.3,32.6,0.0,17.71
2016/03/23,3.1,12.6,0.0,28.93
2016/03/23,0.0,0.0,29,0.0
2016/03/22,0.0,0.0,40,0.0
2016/03/22,2.8,19.5,0.0,30.28
2016/03/21,0.0,0.0,39,0.0
2016/03/21,2.1,15.5,0.0,28.43
2016/03/20,0.0,0.0,34,0.0
2016/03/20,2.7,12.3,0.0,24.79
2016/03/19,3,10.4,0.0,24.73
2016/03/19,0.0,0.0,27,0.0
2016/03/18,3.6,20.3,0.0,30.46
2016/03/18,0.0,0.0,55,0.0
2016/03/17,0.0,0.0,46,0.0
2016/03/17,4.9,15,0.0,39.22
2016/03/16,2.4,8.4,0.0,35.36
2016/03/15,3.3,7.8,0.0,36.21
2016/03/15,0.0,0.0,23,0.0
2016/03/14,1.4,29,0.0,19.16
2016/03/14,0.0,0.0,6,0.0
2016/03/13,2.6,15.5,0.0,26.47
2016/03/12,0.0,0.0,17,0.0
2016/03/12,1.9,9.7,0.0,32.48
2016/03/11,0.0,0.0,5,0.0
2016/03/11,2,18.3,0.0,26.72
2016/03/10,0.9,24.3,0.0,19.15
2016/03/10,0.0,0.0,2,0.0
2016/03/09,0.0,0.0,20,0.0
2016/03/09,2.3,12.8,0.0,22.17
2016/03/08,0.0,0.0,54,0.0
2016/03/08,4.5,27.4,0.0,21.3
2016/03/07,3.5,23.8,0.0,28.34
2016/03/07,0.0,0.0,38,0.0
2016/03/06,0.0,0.0,36,0.0
2016/03/06,3.6,23.7,0.0,23.02
2016/03/05,0.0,0.0,23,0.0
2016/03/05,1.6,22.6,0.0,25.79
2016/03/04,3.1,18.9,0.0,29.09
2016/03/04,0.0,0.0,26,0.0
2016/03/03,5.7,27.9,0.0,31.3
2016/03/03,0.0,0.0,45,0.0
2016/03/02,0.0,0.0,39,0.0
2016/03/02,4.1,32.3,0.0,27.46
2016/03/01,0.0,0.0,37,0.0
2016/03/01,2.5,31,0.0,27.1
2016/02/29,0.0,0.0,27,0.0
2016/02/29,3.3,31.6,0.0,20.23
2016/02/28,0.0,0.0,19,0.0
2016/02/28,1.3,23.6,0.0,22.61
2016/02/27,2.4,15.8,0.0,25.62
2016/02/27,0.0,0.0,17,0.0
2016/02/26,0.0,0.0,21,0.0
2016/02/26,2.8,9,0.0,33
2016/02/25,3.1,13.9,0.0,29.53
2016/02/25,0.0,0.0,18,0.0
2016/02/24,0.0,0.0,11,0.0
2016/02/24,2.1,31,0.0,17.02
2016/02/23,2.2,24.1,0.0,18.9
2016/02/23,0.0,0.0,18,0.0
2016/02/22,0.0,0.0,60,0.0
2016/02/22,3.3,20.9,0.0,33.04
2016/02/21,0.0,0.0,46,0.0
2016/02/21,4.4,21.3,0.0,30.41
2016/02/20,2.4,28.8,0.0,18.13
2016/02/20,0.0,0.0,22,0.0
2016/02/19,2.7,13.7,0.0,30.68
2016/02/19,0.0,0.0,39,0.0
2016/02/18,3.1,18.2,0.0,33.38
2016/02/18,0.0,0.0,32,0.0
2016/02/17,0.0,0.0,33,0.0
2016/02/17,3,10,0.0,32.76
2016/02/16,3.4,16.4,0.0,25.89
2016/02/16,0.0,0.0,20,0.0
2016/02/15,2.3,23.8,0.0,14.2
2016/02/15,0.0,0.0,14,0.0
2016/02/14,2.7,16.2,0.0,12.9
2016/02/14,0.0,0.0,10,0.0
2016/02/13,4.7,17.1,0.0,12.24
2016/02/13,0.0,0.0,8,0.0
2016/02/12,3,21.6,0.0,15.57
2016/02/12,0.0,0.0,12,0.0
2016/02/11,2.4,29.1,0.0,22.27
2016/02/11,0.0,0.0,40,0.0
2016/02/10,2.2,23.8,0.0,29.65
2016/02/10,0.0,0.0,36,0.0
2016/02/09,0.0,0.0,21,0.0
2016/02/09,3.4,29.3,0.0,20.03
2016/02/08,0.0,0.0,40,0.0
2016/02/08,2.5,28.2,0.0,20.26
2016/02/07,3,48.4,0.0,12.82
2016/02/07,0.0,0.0,45,0.0
2016/02/06,0.0,0.0,58,0.0
2016/02/06,4.8,57.1,0.0,13.02
2016/02/05,0.0,0.0,10,0.0
2016/02/05,1.2,32,0.0,13.97
2016/02/04,0.0,0.0,17,0.0
2016/02/04,2.7,12.4,0.0,24.05
2016/02/03,0.0,0.0,14,0.0
2016/02/03,2.8,15.8,0.0,22.81
2016/02/02,2.3,22.6,0.0,16.95
2016/02/02,0.0,0.0,5,0.0
2016/02/01,0.0,0.0,6,0.0
2016/01/31,0.0,0.0,13,0.0
